ts,date,gate,action,plate,conf,img,fee
1757865774,2025-09-14 23:02:54,gate1,OUT,,0,plates\20250914\1757865774_gate1_OUT_unknown_0.jpg,0
1757865782,2025-09-14 23:03:02,gate1,IN,,0,plates\20250914\1757865782_gate1_IN_unknown_0.jpg,0
1757865803,2025-09-14 23:03:23,gate1,IN,,0,plates\20250914\1757865803_gate1_IN_unknown_0.jpg,0
1757866274,2025-09-14 23:11:14,gate1,IN,,0,plates\20250914\1757866274_gate1_IN_0.jpg,0
1757866301,2025-09-14 23:11:41,gate1,OUT,,0,plates\20250914\1757866301_gate1_OUT_0.jpg,0
1757866612,2025-09-14 23:16:52,gate1,IN,2,40,plates\20250914\2_1757866612_IN_40.jpg,0
1757866620,2025-09-14 23:17:00,gate1,IN,5,41,plates\20250914\5_1757866620_IN_41.jpg,0
1757866636,2025-09-14 23:17:16,gate1,OUT,1 PS 5,47,plates\20250914\1_PS_5_1757866636_OUT_47.jpg,0
1757866657,2025-09-14 23:17:37,gate1,IN,O VTY,38,plates\20250914\O_VTY_1757866657_IN_38.jpg,0
1757866733,2025-09-14 23:18:53,gate1,IN,O O,24,plates\20250914\O_O_1757866733_IN_24.jpg,0
1757866880,2025-09-14 23:21:20,gate1,IN,OE SOK,5,plates\20250914\OE_SOK_1757866880_IN_5.jpg,0
1757866895,2025-09-14 23:21:35,gate1,IN,SL,21,plates\20250914\SL_1757866895_IN_21.jpg,0
1757867854,2025-09-14 23:37:34,gate1,IN,238876,10,plates\20250914\IN\238876_1757867854_IN_10.jpg,0
1757867872,2025-09-14 23:37:52,gate1,IN,JIA 555.55,60,plates\20250914\IN\JIA_555.55_1757867872_IN_60.jpg,0
1757867898,2025-09-14 23:38:18,gate1,IN,JAAM 37A 55555,32,plates\20250914\IN\JAAM_37A_55555_1757867898_IN_32.jpg,0
1757867927,2025-09-14 23:38:47,gate1,IN,374 555.55,43,plates\20250914\IN\374_555.55_1757867927_IN_43.jpg,0
1757867941,2025-09-14 23:39:01,gate1,IN,39JF 37A 555.55,40,plates\20250914\IN\39JF_37A_555.55_1757867941_IN_40.jpg,0
1757868037,2025-09-14 23:40:37,gate1,IN,55555,19,plates\20250914\IN\55555_1757868037_IN_19.jpg,0
1757868051,2025-09-14 23:40:51,gate1,OUT,SN.,30,plates\20250914\OUT\SN._1757868051_OUT_30.jpg,0
1757868060,2025-09-14 23:41:00,gate1,IN,30-L5 6 52,73,plates\20250914\IN\30-L5_6_52_1757868060_IN_73.jpg,0
1757868069,2025-09-14 23:41:09,gate1,IN,50 - L 6 528,72,plates\20250914\IN\50_-_L_6_528_1757868069_IN_72.jpg,0
1757868083,2025-09-14 23:41:23,gate1,IN,J,48,plates\20250914\IN\J_1757868083_IN_48.jpg,0
1757868089,2025-09-14 23:41:29,gate1,IN,AN 1 JY,25,plates\20250914\IN\AN_1_JY_1757868089_IN_25.jpg,0
1757868099,2025-09-14 23:41:39,gate1,IN,30-L5 6 528,60,plates\20250914\IN\30-L5_6_528_1757868099_IN_60.jpg,0
1757868110,2025-09-14 23:41:50,gate1,OUT,652 50-L5,57,plates\20250914\OUT\652_50-L5_1757868110_OUT_57.jpg,0
1757868117,2025-09-14 23:41:57,gate1,OUT,4 4 -- 7 - .,11,plates\20250914\OUT\4_4_--_7_-_._1757868117_OUT_11.jpg,0
1757868122,2025-09-14 23:42:02,gate1,OUT,30-15 652,63,plates\20250914\OUT\30-15_652_1757868122_OUT_63.jpg,0
1757868130,2025-09-14 23:42:10,gate1,OUT,1,14,plates\20250914\OUT\1_1757868130_OUT_14.jpg,0
1757868220,2025-09-14 23:43:40,gate1,IN,0 A,64,plates\20250914\IN\0_A_1757868220_IN_64.jpg,0
1757868228,2025-09-14 23:43:48,gate1,IN,LDA,0,plates\20250914\IN\LDA_1757868228_IN_0.jpg,0
1757868230,2025-09-14 23:43:50,gate1,IN,2 A,53,plates\20250914\IN\2_A_1757868230_IN_53.jpg,0
1757868252,2025-09-14 23:44:12,gate1,IN,PP,1,plates\20250914\IN\PP_1757868252_IN_1.jpg,0
1757868260,2025-09-14 23:44:20,gate1,IN,.,62,plates\20250914\IN\._1757868260_IN_62.jpg,0
1757868268,2025-09-14 23:44:28,gate1,IN,-Y,0,plates\20250914\IN\-Y_1757868268_IN_0.jpg,0
1757868761,2025-09-14 23:52:41,gate1,IN,L044,19,plates\20250914\IN\L044_1757868761_IN_19.jpg,0
1757868790,2025-09-14 23:53:10,gate1,IN,L04,2,plates\20250914\IN\L04_1757868790_IN_2.jpg,0
1757868803,2025-09-14 23:53:23,gate1,IN,29-T8 2 0,65,plates\20250914\IN\29-T8_2_0_1757868803_IN_65.jpg,0
1757868810,2025-09-14 23:53:30,gate1,IN,168.88,90,plates\20250914\IN\168.88_1757868810_IN_90.jpg,0
1757868822,2025-09-14 23:53:42,gate1,IN,. A,29,plates\20250914\IN\._A_1757868822_IN_29.jpg,0
1757868833,2025-09-14 23:53:54,gate1,IN,S-S. . . . -4 . ST - . . . . . . . . F . WA . . . .. . . -,25,plates\20250914\IN\S-S._._._._-4_._ST_-_._._._._._._._._F_._WA_._._.__1757868833_IN_25.jpg,0
1757868862,2025-09-14 23:54:22,gate1,OUT,100 Q0,9,plates\20250914\OUT\100_Q0_1757868862_OUT_9.jpg,0
1757868872,2025-09-14 23:54:32,gate1,OUT,Y 4 BD O,5,plates\20250914\OUT\Y_4_BD_O_1757868872_OUT_5.jpg,0
1757868878,2025-09-14 23:54:38,gate1,OUT,. .,10,plates\20250914\OUT\._._1757868878_OUT_10.jpg,0
1757868885,2025-09-14 23:54:45,gate1,OUT,OO 2 3 N -,2,plates\20250914\OUT\OO_2_3_N_-_1757868885_OUT_2.jpg,0
1757868901,2025-09-14 23:55:01,gate1,OUT,168.88,42,plates\20250914\OUT\168.88_1757868901_OUT_42.jpg,3000
1757927121,2025-09-15 16:05:21,gate1,OUT,OSE.,0,plates\20250915\OUT\OSE._1757927121_OUT_0.jpg,0
1757927141,2025-09-15 16:05:41,gate1,OUT,- -,38,plates\20250915\OUT\-_-_1757927141_OUT_38.jpg,0
1757927152,2025-09-15 16:05:52,gate1,IN,SS,27,plates\20250915\IN\SS_1757927152_IN_27.jpg,0
1757927193,2025-09-15 16:06:33,gate1,IN,7 EY . . -,12,plates\20250915\IN\7_EY_._._-_1757927193_IN_12.jpg,0
1757927288,2025-09-15 16:08:08,gate1,IN,SE,31,plates\20250915\IN\SE_1757927288_IN_31.jpg,0
1757928102,2025-09-15 16:21:42,gate1,IN,G2,21,plates\20250915\IN\G2_1757928102_IN_21.jpg,0
1757928120,2025-09-15 16:22:00,gate1,IN,-A4PRM4BY-FMALEPPBR3A-2YA13EB23YW4XEP4ASNXSAASFPMBP1AA,5,plates\20250915\IN\-A4PRM4BY-FMALEPPBR3A-2YA13EB23YW4XEP4ASNXSAASFPMB_1757928120_IN_5.jpg,0
1757928273,2025-09-15 16:24:33,gate1,IN,23457,99,plates\20250915\IN\23457_1757928273_IN_99.jpg,0
1757928327,2025-09-15 16:25:27,gate1,IN,22TT4T-H,13,plates\20250915\IN\22TT4T-H_1757928327_IN_13.jpg,0
1757928338,2025-09-15 16:25:38,gate1,IN,ST,20,plates\20250915\IN\ST_1757928338_IN_20.jpg,0
1757928353,2025-09-15 16:25:53,gate1,IN,LF,48,plates\20250915\IN\LF_1757928353_IN_48.jpg,0
1757928375,2025-09-15 16:26:15,gate1,IN,4,45,plates\20250915\IN\4_1757928375_IN_45.jpg,0
1757928434,2025-09-15 16:27:14,gate1,IN,A,30,plates\20250915\IN\A_1757928434_IN_30.jpg,0
1757928443,2025-09-15 16:27:23,gate1,IN,-4C-22-242TS-S7A,15,plates\20250915\IN\-4C-22-242TS-S7A_1757928443_IN_15.jpg,0
1757928463,2025-09-15 16:27:43,gate1,IN,SS,31,plates\20250915\IN\SS_1757928463_IN_31.jpg,0
1757928773,2025-09-15 16:32:53,gate1,IN,SUIV23457,48,plates\20250915\IN\SUIV23457_1757928773_IN_48.jpg,0
1757928782,2025-09-15 16:33:02,gate1,IN,ST,46,plates\20250915\IN\ST_1757928782_IN_46.jpg,0
1757928823,2025-09-15 16:33:43,gate1,IN,4,20,plates\20250915\IN\4_1757928823_IN_20.jpg,0
1757928981,2025-09-15 16:36:21,gate1,IN,-,26,plates\20250915\IN\-_1757928981_IN_26.jpg,0
